MetricId,Entity,Status,Columns,Sample,Error
DemaReal,Sistema,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Sistema', 'Values_code': 'Sistema', 'Values_Hour01': 7236893.31, 'Values_Hour02': 7104164.61, 'Values_Hour03': 7012446.4, 'Values_Hour04': 6870115.23, 'Values_Hour05': 6759771.97, 'Values_Hour06': 6671795.6, 'Values_Hour07': 6287595.26, 'Values_Hour08': 6319646.62, 'Values_Hour09': 6520217.34, 'Values_Hour10': 6695340.87, 'Values_Hour11': 6888638.47, 'Values_Hour12': 7190683.86, 'Values_Hour13': 7340773.88, 'Values_Hour14': 7382892.56, 'Values_Hour15': 7324239.94, 'Values_Hour16': 7335829.33, 'Values_Hour17': 7316670.59, 'Values_Hour18': 7381571.21, 'Values_Hour19': 8108189.21, 'Values_Hour20': 8336059.98, 'Values_Hour21': 8268100.14, 'Values_Hour22': 8106656.06, 'Values_Hour23': 7833804.62, 'Values_Hour24': 7518276.26, 'Date': Timestamp('2024-01-01 00:00:00')}]",
DemaReal,Agente,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Agente', 'Values_code': 'AAGG', 'Values_Hour01': 133.49, 'Values_Hour02': 135.77, 'Values_Hour03': 124.82, 'Values_Hour04': 131.77, 'Values_Hour05': 124.07, 'Values_Hour06': 131.77, 'Values_Hour07': nan, 'Values_Hour08': nan, 'Values_Hour09': nan, 'Values_Hour10': nan, 'Values_Hour11': nan, 'Values_Hour12': nan, 'Values_Hour13': nan, 'Values_Hour14': nan, 'Values_Hour15': nan, 'Values_Hour16': nan, 'Values_Hour17': nan, 'Values_Hour18': nan, 'Values_Hour19': 163.17, 'Values_Hour20': 116.38, 'Values_Hour21': 112.82, 'Values_Hour22': 128.75, 'Values_Hour23': 120.79, 'Values_Hour24': 132.85, 'Date': Timestamp('2024-01-01 00:00:00')}]",
ExpoMoneda,Sistema,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Sistema', 'Values_code': 'Sistema', 'Values_Hour01': nan, 'Values_Hour02': nan, 'Values_Hour03': nan, 'Values_Hour04': nan, 'Values_Hour05': nan, 'Values_Hour06': nan, 'Values_Hour07': nan, 'Values_Hour08': nan, 'Values_Hour09': nan, 'Values_Hour10': 30124.2111, 'Values_Hour11': nan, 'Values_Hour12': 20933.8868, 'Values_Hour13': nan, 'Values_Hour14': nan, 'Values_Hour15': nan, 'Values_Hour16': 347167.8652, 'Values_Hour17': nan, 'Values_Hour18': nan, 'Values_Hour19': 64985.8657, 'Values_Hour20': 115154.9194, 'Values_Hour21': nan, 'Values_Hour22': 162396.051, 'Values_Hour23': 244433.7347, 'Values_Hour24': nan, 'Date': Timestamp('2024-01-01 00:00:00')}]",
DemaCome,Sistema,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Sistema', 'Values_code': 'Sistema', 'Values_Hour01': 7344157.69, 'Values_Hour02': 7212325.0, 'Values_Hour03': 7121182.38, 'Values_Hour04': 6980239.89, 'Values_Hour05': 6875582.86, 'Values_Hour06': 6790413.05, 'Values_Hour07': 6391836.49, 'Values_Hour08': 6414872.47, 'Values_Hour09': 6608452.23, 'Values_Hour10': 6781851.51, 'Values_Hour11': 6974797.45, 'Values_Hour12': 7276154.91, 'Values_Hour13': 7420873.44, 'Values_Hour14': 7465908.11, 'Values_Hour15': 7407393.63, 'Values_Hour16': 7424919.67, 'Values_Hour17': 7409705.34, 'Values_Hour18': 7477155.59, 'Values_Hour19': 8216351.01, 'Values_Hour20': 8447142.68, 'Values_Hour21': 8386957.88, 'Values_Hour22': 8229807.08, 'Values_Hour23': 7960772.68, 'Values_Hour24': 7653810.54, 'Date': Timestamp('2024-01-01 00:00:00')}]",
Gene,Sistema,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Sistema', 'Values_code': 'Sistema', 'Values_Hour01': 7343431.33, 'Values_Hour02': 7211670.17, 'Values_Hour03': 7120953.27, 'Values_Hour04': 6979871.22, 'Values_Hour05': 6874838.53, 'Values_Hour06': 6719708.19, 'Values_Hour07': 6353959.47, 'Values_Hour08': 6413032.87, 'Values_Hour09': 6608176.69, 'Values_Hour10': 6781851.51, 'Values_Hour11': 6973743.14, 'Values_Hour12': 7276154.91, 'Values_Hour13': 7420865.8, 'Values_Hour14': 7465276.63, 'Values_Hour15': 7406883.34, 'Values_Hour16': 7424919.67, 'Values_Hour17': 7408575.66, 'Values_Hour18': 7476257.37, 'Values_Hour19': 8216351.01, 'Values_Hour20': 8447142.68, 'Values_Hour21': 8386776.42, 'Values_Hour22': 8229807.08, 'Values_Hour23': 7960772.68, 'Values_Hour24': 7652476.45, 'Date': Timestamp('2024-01-01 00:00:00')}]",
GeneIdea,Sistema,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Sistema', 'Values_code': 'Sistema', 'Values_Hour01': 7344157.69, 'Values_Hour02': 7212325.0, 'Values_Hour03': 7121182.38, 'Values_Hour04': 6980239.89, 'Values_Hour05': 6875582.86, 'Values_Hour06': 6790413.05, 'Values_Hour07': 6391836.49, 'Values_Hour08': 6414872.47, 'Values_Hour09': 6608452.23, 'Values_Hour10': 6781851.51, 'Values_Hour11': 6974797.45, 'Values_Hour12': 7276154.91, 'Values_Hour13': 7420873.44, 'Values_Hour14': 7465908.11, 'Values_Hour15': 7407393.63, 'Values_Hour16': 7424919.67, 'Values_Hour17': 7409705.34, 'Values_Hour18': 7477155.59, 'Values_Hour19': 8216351.01, 'Values_Hour20': 8447142.68, 'Values_Hour21': 8386957.88, 'Values_Hour22': 8229807.08, 'Values_Hour23': 7960772.68, 'Values_Hour24': 7653810.54, 'Date': Timestamp('2024-01-01 00:00:00')}]",
PrecBolsNaci,Sistema,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Sistema', 'Values_code': 'Sistema', 'Values_Hour01': 251.91161, 'Values_Hour02': 251.91161, 'Values_Hour03': 251.91161, 'Values_Hour04': 281.91161, 'Values_Hour05': 281.91161, 'Values_Hour06': 251.91161, 'Values_Hour07': 152.91161, 'Values_Hour08': 95.85161, 'Values_Hour09': 95.85161, 'Values_Hour10': 95.85161, 'Values_Hour11': 95.85161, 'Values_Hour12': 152.91161, 'Values_Hour13': 152.91161, 'Values_Hour14': 152.91161, 'Values_Hour15': 152.91161, 'Values_Hour16': 251.91161, 'Values_Hour17': 281.91161, 'Values_Hour18': 281.91161, 'Values_Hour19': 301.23261, 'Values_Hour20': 301.23261, 'Values_Hour21': 301.23261, 'Values_Hour22': 301.23261, 'Values_Hour23': 301.23261, 'Values_Hour24': 290.91161, 'Date': Timestamp('2024-01-01 00:00:00')}]",
RestAliv,Sistema,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Sistema', 'Values_code': 'Sistema', 'Values_Hour01': 38139910.09, 'Values_Hour02': 73768667.15, 'Values_Hour03': 99388474.24, 'Values_Hour04': 177332242.81, 'Values_Hour05': 133410122.18, 'Values_Hour06': 120881520.66, 'Values_Hour07': 165711881.13, 'Values_Hour08': 211431775.98, 'Values_Hour09': 228114006.37, 'Values_Hour10': 229729266.14, 'Values_Hour11': 230399341.29, 'Values_Hour12': 195623148.93, 'Values_Hour13': 211112425.61, 'Values_Hour14': 226815148.51, 'Values_Hour15': 244157898.22, 'Values_Hour16': 179845869.87, 'Values_Hour17': 164299583.02, 'Values_Hour18': 165086270.38, 'Values_Hour19': 152105442.17, 'Values_Hour20': 168265121.47, 'Values_Hour21': 161281631.77, 'Values_Hour22': 152259679.07, 'Values_Hour23': 130141767.79, 'Values_Hour24': 139068847.63, 'Date': Timestamp('2024-01-01 00:00:00')}]",
ConsCombustibleMBTU,Recurso,Success,"['Id', 'Values_Name', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Recurso', 'Values_Name': 'ACPM', 'Values_code': 'TRN1', 'Values_Hour01': nan, 'Values_Hour02': nan, 'Values_Hour03': nan, 'Values_Hour04': nan, 'Values_Hour05': nan, 'Values_Hour06': 30.56, 'Values_Hour07': 12.85, 'Values_Hour08': 67.03, 'Values_Hour09': 19.45, 'Values_Hour10': 9.03, 'Values_Hour11': 9.38, 'Values_Hour12': 9.38, 'Values_Hour13': 9.38, 'Values_Hour14': 9.38, 'Values_Hour15': 9.03, 'Values_Hour16': 9.73, 'Values_Hour17': 9.03, 'Values_Hour18': 9.38, 'Values_Hour19': 9.38, 'Values_Hour20': 9.03, 'Values_Hour21': 9.38, 'Values_Hour22': 40.29, 'Values_Hour23': 36.82, 'Values_Hour24': 20.49, 'Date': Timestamp('2024-01-01 00:00:00')}]",
ConsCombustibleMBTU,Combustible,Success,"['Id', 'Values_code', 'Values_FuelType', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Combustible', 'Values_code': 'TRN1', 'Values_FuelType': 'ACPM', 'Values_Hour01': nan, 'Values_Hour02': nan, 'Values_Hour03': nan, 'Values_Hour04': nan, 'Values_Hour05': nan, 'Values_Hour06': 30.56, 'Values_Hour07': 12.85, 'Values_Hour08': 67.03, 'Values_Hour09': 19.45, 'Values_Hour10': 9.03, 'Values_Hour11': 9.38, 'Values_Hour12': 9.38, 'Values_Hour13': 9.38, 'Values_Hour14': 9.38, 'Values_Hour15': 9.03, 'Values_Hour16': 9.73, 'Values_Hour17': 9.03, 'Values_Hour18': 9.38, 'Values_Hour19': 9.38, 'Values_Hour20': 9.03, 'Values_Hour21': 9.38, 'Values_Hour22': 40.29, 'Values_Hour23': 36.82, 'Values_Hour24': 20.49, 'Date': Timestamp('2024-01-01 00:00:00')}]",
